ap,ep,sinip,astar,iz
2.5549,0.0811,0.2538,0.143,-0.01
3.1624,0.0749,0.2584,-0.111,0.08
2.9713,0.0761,0.1831,0.058,0.09
2.6621,0.2136,0.1358,0.028,0.23
2.9938,0.0828,0.1804,0.045,0.08
3.0969,0.0345,0.2723,0.108,0.01
2.6795,0.1528,0.2212,0.143,-0.01
2.5468,0.0884,0.2559,0.103,0.04
3.1955,0.1327,0.0872,-0.08,0.16
2.2794,0.1071,0.0444,0.201,-0.06
3.1922,0.1527,0.0262,-0.111,0.06
2.8466,0.1983,0.102,-0.093,0.18
2.4371,0.1991,0.0739,0.103,0.07
2.8107,0.1606,0.0649,0.068,0
2.8342,0.0425,0.0371,0.156,-0.01
2.9963,0.0662,0.1804,0.045,0.06
3.1752,0.1822,0.0353,-0.134,0.09
3.1403,0.1599,0.0348,-0.098,-0.02
3.0359,0.1165,0.1907,0.094,0.02
2.9338,0.0777,0.2171,-0.062,0.1
3.1317,0.1542,0.1619,-0.084,0.11
2.6112,0.195,0.2454,-0.035,0.13
2.6595,0.1976,0.2066,-0.129,0.06
2.9474,0.1293,0.2353,0.094,-0.02
3.2603,0.0152,0.2822,-0.076,-0.01
2.5936,0.1008,0.2595,0.125,0.12
2.7178,0.2815,0.17,-0.004,0.12
2.6139,0.096,0.2599,0.13,0.08
2.6255,0.1558,0.2328,0.148,-0.02
3.0113,0.1758,0.0233,-0.147,0.08
3.065,0.1498,0.0389,-0.138,-0.02
2.8782,0.0312,0.043,0.121,0.05
2.8068,0.1011,0.1354,0.005,0.03
2.2911,0.113,0.068,0.161,-0.02
2.2688,0.1137,0.0905,0.179,0.01
3.0254,0.0716,0.1961,0.032,0
3.0615,0.1189,0.2393,0.112,0.04
2.7259,0.0956,0.225,0.175,-0.02
2.576,0.1515,0.226,0.147,-0.03
3.1421,0.2035,0.2828,0.13,0.17
2.6927,0.1586,0.226,0.143,0.03
3.0763,0.0728,0.0764,0.014,0
2.8141,0.0969,0.101,-0.053,0.06
2.4015,0.1297,0.2217,0.139,0.09
3.1468,0.0673,0.188,0.219,-0.07
2.9302,0.0929,0.0316,0.13,0.03
3.1368,0.1703,0.0603,-0.098,0
2.5912,0.0866,0.2359,0.126,0.05
2.7661,0.1233,0.1556,0.094,-0.04
3.02,0.0721,0.1743,0.156,0.08
2.2664,0.1584,0.0779,0.17,-0.03
2.936,0.0513,0.1458,0.08,-0.01
2.9987,0.1231,0.0583,-0.187,-0.08
3.2214,0.0336,0.0474,0.019,0.09
3.0807,0.1335,0.0948,-0.044,0.08
3.0401,0.0848,0.1724,0.049,-0.04
3.0148,0.0853,0.1815,0.085,0.05
2.78,0.1156,0.1656,0.031,0.12
3.1146,0.1064,0.2053,-0.031,0.07
3.0986,0.0459,0.2456,-0.115,0.05
3.135,0.1976,0.2873,0.179,0.15
2.3855,0.2239,0.1461,0.139,0
2.9774,0.1286,0.2282,-0.035,-0.01
2.7661,0.1032,0.1705,0.295,-0.08
2.5365,0.1013,0.2033,0.156,0.03
2.3615,0.1809,0.1831,0.125,-0.04
2.807,0.046,0.0924,0.13,-0.07
3.1366,0.151,0.0202,-0.107,0
2.7349,0.0324,0.1958,-0.12,0.1
3.0646,0.1365,0.0994,-0.093,0
3.0322,0.1,0.188,0.032,0.03
3.0326,0.0698,0.1442,0.085,0.05
3.2057,0.165,0.1739,-0.116,0.04
3.0311,0.0362,0.1737,0.036,0.12
3.1302,0.1453,0.2964,-0.089,0.01
2.6754,0.2349,0.2045,0.107,-0.01
2.657,0.1891,0.2355,0.142,0.07
2.9809,0.1919,0.2744,0.147,0
2.668,0.1512,0.2299,0.219,-0.04
3.2342,0.0954,0.2272,-0.165,0.25
3.2033,0.1768,0.1893,-0.044,0.12
2.9774,0.0903,0.1789,0.01,0.01
2.2649,0.2222,0.0911,0.094,0
3.1656,0.166,0.0251,-0.089,0.04
2.7819,0.2507,0.1765,0.134,-0.03
2.7689,0.0449,0.0635,0.282,0.05
2.3762,0.19,0.0386,0.121,-0.05
3.4299,0.0593,0.168,0.059,0.09
2.4215,0.1906,0.2179,0.13,-0.03
3.0717,0.042,0.1898,0.032,0.09
3.2084,0.0187,0.2014,-0.066,0.01
3.2101,0.079,0.2351,-0.049,0.03
3.1353,0.1017,0.2902,-0.071,0.06
3.0254,0.0716,0.1961,0.063,0
3.1317,0.1542,0.1619,-0.112,0.13
2.6112,0.195,0.2454,-0.049,0.11
2.9474,0.1293,0.2353,0.152,-0.07
2.6159,0.1592,0.2285,0.125,0.02
2.9944,0.0683,0.1711,0.032,-0.01
3.1146,0.1064,0.2053,0.013,0.08
2.5529,0.2166,0.1286,0.076,-0.09
2.9678,0.0804,0.1773,-0.004,0.09
3.1546,0.1755,0.2094,0.068,0.16
3.1631,0.2177,0.1313,-0.116,-0.04
2.2808,0.1413,0.0786,0.192,-0.08
3.072,0.2231,0.099,-0.16,0.08
3.0326,0.0698,0.1442,0.103,0.03
3.0888,0.1865,0.252,-0.147,0.13
3.0401,0.0848,0.1724,0.036,-0.14
3.1732,0.0682,0.1615,-0.147,0.09
3.0056,0.0803,0.1823,0.085,0.04
3.063,0.1014,0.237,-0.031,0.08
2.5624,0.1315,0.2275,0.156,-0.04
2.9312,0.0444,0.221,-0.067,0.01
3.4299,0.0593,0.168,0.098,0.11
3.0322,0.1,0.188,0.054,0.06
2.2677,0.1164,0.077,0.143,-0.04
3.1751,0.0581,0.1621,-0.054,0.08
2.689,0.1041,0.1724,0.156,-0.08
3.1812,0.0611,0.2545,-0.026,0.05
2.2687,0.159,0.0795,0.094,-0.07
2.6073,0.1361,0.2389,2.368,-0.6
2.6572,0.1531,0.2242,0.209,0.1
2.5393,0.2187,0.126,0.152,-0.07
2.9734,0.1939,0.1506,0.014,0
3.0897,0.0808,0.2483,0.139,0.02
3.0134,0.0906,0.1757,0.076,0.04
2.6754,0.2349,0.2045,0.147,-0.07
2.7075,0.1773,0.1979,0.125,-0.12
3.1879,0.0493,0.2495,-0.075,0.09
2.9082,0.0454,0.0374,0.023,-0.04
2.547,0.0928,0.0454,0.143,0
2.6143,0.0959,0.0529,0.215,-0.09
2.6378,0.1985,0.0959,0.161,-0.16
2.7231,0.0517,0.0455,0.143,-0.02
2.5292,0.1518,0.2373,0.112,0.01
3.1399,0.1094,0.1127,-0.027,0.05
2.8914,0.0347,0.0406,0.108,-0.13
2.7501,0.069,0.0687,0.138,-0.04
2.9886,0.1294,0.2023,-0.031,0.04
3.1695,0.1627,0.0198,-0.12,0.05
3.2187,0.0515,0.2582,-0.066,0.07
2.6803,0.1868,0.2261,0.125,0.02
3.2064,0.1499,0.1252,-0.067,0.03
2.9963,0.0752,0.1849,0.094,0.08
2.6236,0.1525,0.2203,0.196,-0.11
3.1498,0.1905,0.0156,-0.098,0.05
2.5485,0.2147,0.1199,0.121,-0.01
2.1784,0.2511,0.1012,0.125,-0.04
2.2028,0.1521,0.0848,0.179,-0.07
3.1526,0.1532,0.0231,-0.116,0
2.9781,0.0801,0.1873,-0.021,0.04
3.1976,0.1423,0.0313,-0.129,-0.03
2.6276,0.1296,0.0612,0.094,0.01
3.0621,0.121,0.2005,0.01,0.07
3.0275,0.1319,0.2044,-0.058,0.25
2.6256,0.0812,0.2514,0.099,-0.11
2.1895,0.1434,0.0657,0.054,-0.05
2.6953,0.076,0.0678,0.179,0.13
3.0932,0.1548,0.0348,-0.129,0.01
3.1816,0.0965,0.0797,-0.035,0.1
3.0197,0.0847,0.1759,0.063,0.08
2.4178,0.2173,0.0279,0.112,-0.04
2.9813,0.0805,0.1907,0.045,0.02
2.7413,0.0792,0.1043,-0.111,0.04
3.1542,0.0496,0.1837,-0.067,0.01
3.2074,0.1225,0.0847,-0.102,-0.01
2.3818,0.1845,0.1272,-0.031,0.03
3.2406,0.064,0.2588,0.036,0.12
3.1725,0.0633,0.1645,-0.026,0.02
3.1735,0.1352,0.018,-0.058,0
2.8573,0.038,0.0356,0.153,-0.02
2.5419,0.1917,0.1712,0.121,-0.11
3.1428,0.1985,0.1545,-0.084,0.04
2.5609,0.1709,0.2241,0.116,-0.46
2.7231,0.0517,0.0455,0.121,-0.03
2.6378,0.1985,0.0959,0.094,-0.06
2.5292,0.1518,0.2373,0.152,-0.06
3.1399,0.1094,0.1127,-0.009,0.09
2.8914,0.0347,0.0406,0.121,-0.1
2.4525,0.1244,0.1129,-0.115,0.01
2.3681,0.0907,0.0802,0.157,0.01
2.6664,0.0511,0.1805,-0.066,-0.01
2.3869,0.0591,0.1991,0.237,-0.06
2.9838,0.0839,0.1755,0.027,-0.01
2.9791,0.0509,0.1615,0.112,-0.01
3.1695,0.1627,0.0198,-0.116,0
3.2187,0.0515,0.2582,-0.071,0.09
2.6803,0.1868,0.2261,0.187,-0.06
3.1697,0.0622,0.1598,-0.098,0.11
3.1498,0.1905,0.0156,-0.142,0.03
2.5485,0.2147,0.1199,0.013,0.22
2.1784,0.2511,0.1012,0.214,-0.07
2.9827,0.0662,0.1527,0.001,-0.04
2.5922,0.1502,0.2346,0.076,-0.04
3.1227,0.1053,0.2304,-0.138,0.01
2.6276,0.1296,0.0612,0.138,0.02
3.0621,0.121,0.2005,0.054,0.02
3.0275,0.1319,0.2044,0.041,0.06
2.3923,0.1427,0.0561,-0.12,-0.01
2.2741,0.1485,0.0771,0.139,-0.03
2.6161,0.2504,0.221,0.032,0.1
3.0197,0.0847,0.1759,0.09,0.04
2.4178,0.2173,0.0279,0.09,0
2.9813,0.0805,0.1907,0.032,-0.1
2.7413,0.0792,0.1043,-0.146,0.03
2.9848,0.0881,0.1875,0.009,0.06
2.8815,0.2086,0.2057,0.036,-0.04
2.8492,0.1751,0.2167,-0.022,0.07
2.5419,0.1917,0.1712,0.125,-0.03
3.1428,0.1985,0.1545,-0.013,0.06
2.5609,0.1709,0.2241,0.094,-0.02
3.0712,0.1012,0.1347,-0.075,0
3.5508,0.0895,0.1919,0.032,0.22
3.0164,0.1454,0.207,0.049,0.08
3.4094,0.2094,0.2783,-0.062,-0.01
3.0262,0.0382,0.1864,-0.075,0.16
2.5579,0.1414,0.2325,0.156,-0.18
2.6159,0.1592,0.2285,0.112,-0.1
2.7716,0.1947,0.137,-0.16,0.03
3.1146,0.1064,0.2053,0.023,0
2.6114,0.0752,0.2581,0.098,-0.02
2.6758,0.1553,0.2233,0.196,-0.02
3.0407,0.1835,0.2793,0.005,0.11
2.5986,0.2067,0.2315,0.147,-0.02
3.1697,0.0404,0.1787,-0.098,0
3.024,0.0905,0.1783,0.01,0.07
3.1531,0.0889,0.229,-0.138,0
3.1126,0.1572,0.206,-0.008,0.21
2.6405,0.1524,0.2227,0.121,0
2.7134,0.1242,0.1953,0.223,-0.04
2.4043,0.0948,0.116,0.205,-0.5
3.1758,0.056,0.1955,0.134,0.14
2.78,0.1156,0.1656,0.027,0.14
2.9944,0.0683,0.1711,0.063,0
2.666,0.2581,0.2192,0.085,0.01
2.9678,0.0804,0.1773,-0.017,-0.1
2.668,0.1512,0.2299,0.17,-0.06
3.2101,0.079,0.2351,-0.03,0.08
2.8868,0.2488,0.2494,0.183,0
2.5393,0.2187,0.126,0.148,-0.14
3.1029,0.0891,0.1871,0.063,0.08
2.7661,0.1384,0.1664,-0.035,0.12
3.1774,0.0914,0.2426,-0.084,0.09
3.0134,0.0906,0.1757,0.09,0.03
2.3648,0.1805,0.2268,0.072,0.06
3.1267,0.1744,0.2475,-0.093,0.01
3.1099,0.087,0.2175,0.179,0.02
3.1025,0.0764,0.1648,0.036,0.1
3.0311,0.0362,0.1737,0.067,0.09
3.0662,0.1698,0.1679,0.05,-0.01
2.6213,0.0567,0.2447,-0.004,0.02
3.1161,0.1456,0.1985,-0.133,0.03
3.2047,0.2062,0.2438,0.183,-0.14
2.9871,0.0893,0.2066,0.014,-0.03
2.9082,0.0454,0.0374,0.103,-0.03
2.6486,0.1637,0.2008,-0.08,0.03
2.6378,0.1985,0.0959,0.174,-0.19
2.5292,0.1518,0.2373,0.148,-0.05
3.0906,0.1382,0.0243,-0.093,-0.02
2.4525,0.1244,0.1129,-0.138,0.08
2.3869,0.0591,0.1991,0.219,0.03
2.7501,0.069,0.0687,0.13,-0.05
3.0562,0.2128,0.0586,-0.129,-0.03
2.9886,0.1294,0.2023,0.018,0.04
2.2445,0.1209,0.0453,-0.017,0.14
2.7766,0.1333,0.1411,0.188,-0.08
2.991,0.0849,0.1724,0.045,0.07
2.7719,0.1292,0.1052,0.148,-0.04
2.6632,0.2353,0.2439,0.068,-0.1
2.236,0.1011,0.0898,0.134,0
3.0281,0.1304,0.0596,0.143,0.05
2.6538,0.1411,0.0919,-0.031,0.04
2.9602,0.0802,0.0274,0.045,-0.03
3.1314,0.1162,0.0236,-0.147,0.01
2.8739,0.0473,0.0364,0.112,-0.04
2.9652,0.0216,0.029,0.067,0.06
2.6926,0.1552,0.2304,0.152,-0.01
2.29,0.1257,0.0949,0.125,-0.06
2.5476,0.1365,0.0893,0.107,-0.04
3.1649,0.0619,0.1617,-0.102,0.01
2.9781,0.0801,0.1873,0.032,0.08
3.1976,0.1423,0.0313,-0.053,0.03
3.1399,0.1186,0.2656,-0.004,0.06
2.7072,0.0696,0.1155,-0.071,0.05
2.6161,0.2504,0.221,0.072,0.1
3.1325,0.1831,0.1352,-0.008,0.14
2.3795,0.1016,0.1137,0.121,-0.25
2.977,0.0884,0.1792,0.023,0
2.6256,0.0812,0.2514,0.165,0.05
2.8007,0.0681,0.0649,0.147,0
2.6953,0.076,0.0678,0.192,0.11
3.1347,0.1023,0.0995,-0.004,0.07
2.4178,0.2173,0.0279,0.099,-0.02
2.7413,0.0792,0.1043,-0.084,-0.15
3.2516,0.0175,0.1413,-0.009,0.07
3.1325,0.0382,0.2299,0.005,0.04
3.1725,0.0633,0.1645,-0.106,0.06
2.6444,0.168,0.239,0.179,-0.05
3.0815,0.0849,0.2305,0.072,0.17
2.8573,0.038,0.0356,0.103,-0.07
2.7558,0.167,0.0946,0.166,-0.08
3.231,0.1076,0.2185,-0.187,0.1
2.4011,0.1873,0.0385,0.027,0.17
2.8701,0.0462,0.0359,0.027,0.04
3.0444,0.0774,0.183,-0.004,0.06
3.1838,0.1503,0.0226,-0.222,0.04
3.0413,0.1968,0.0117,-0.187,0.13
2.5912,0.0866,0.2359,0.112,0.06
3.083,0.0853,0.1752,0.085,-0.04
2.6685,0.1964,0.0656,-0.147,0.12
2.9241,0.1559,0.2043,0.228,0.03
2.2724,0.1739,0.1149,0.192,-0.02
2.3454,0.2302,0.1981,-0.115,0.12
2.3989,0.0638,0.0579,0.179,0.01
3.1655,0.0884,0.0936,-0.044,0.04
3.1235,0.0991,0.2995,-0.022,0.08
2.9502,0.02,0.0391,0.099,-0.11
2.9944,0.0219,0.1701,0.081,-0.02
2.4193,0.1224,0.0688,-0.133,0.09
2.9474,0.0806,0.0338,0.121,-0.13
3.217,0.1322,0.0195,0.059,0.2
2.4371,0.1991,0.0739,0.192,0.12
2.8733,0.0498,0.0383,0.121,0
3.0838,0.2663,0.0439,-0.116,0.02
2.742,0.0576,0.0693,0.085,-0.01
2.32,0.1032,0.1018,0.152,-0.21
3.068,0.0668,0.1649,0.023,-0.04
2.9926,0.0779,0.1835,0.068,0.08
2.2345,0.1472,0.1013,0.108,0.02
2.6677,0.1705,0.1203,-0.138,0.13
3.1382,0.1318,0.1971,-0.16,0.2
2.1837,0.1186,0.0561,0.121,-0.04
2.788,0.0488,0.076,-0.062,0.05
2.8773,0.0421,0.0357,0.094,0.01
3.1922,0.1527,0.0262,-0.178,0.09
2.1948,0.1494,0.0081,0.086,-0.01
2.1661,0.118,0.0625,0.05,0.02
3.0831,0.0489,0.0945,0.045,0.21
2.9106,0.0748,0.2847,-0.013,0.09
3.1108,0.0965,0.0324,0.068,-0.02
2.3466,0.2162,0.0414,0.054,0.09
2.936,0.0513,0.1458,0.036,-0.04
2.5833,0.1427,0.1013,0.005,0.14
2.5421,0.205,0.0925,-0.129,0.05
2.753,0.0716,0.086,-0.111,0.11
2.7649,0.2284,0.2551,0.157,0
3.0509,0.2632,0.0826,-0.231,-0.04
2.8141,0.0969,0.101,-0.044,-0.04
3.1174,0.1764,0.0354,-0.2,-0.18
2.9524,0.0723,0.0324,0.072,-0.08
2.2773,0.1854,0.105,0.085,-0.05
2.9738,0.1919,0.1297,-0.044,0.04
2.8573,0.1054,0.1883,0.157,-0.06
2.786,0.1956,0.1387,-0.16,0.08
3.1403,0.1599,0.0348,-0.124,-0.05
2.9987,0.1231,0.0583,-0.107,-0.03
2.2588,0.1538,0.0844,0.17,-0.09
3.199,0.0274,0.0759,-0.12,0.07
3.0807,0.1335,0.0948,-0.111,0.15
2.2688,0.1137,0.0905,0.188,-0.04
2.7134,0.1242,0.1953,0.224,0.02
3.1447,0.1275,0.0891,-0.178,0
2.3237,0.1526,0.0653,-0.2,-0.01
3.1312,0.0667,0.0961,0.028,0.19
3.1528,0.167,0.1869,-0.093,0.09
2.3906,0.0464,0.0782,0.184,-0.04
3.2093,0.1647,0.0333,-0.16,0
2.2722,0.1258,0.0429,0.125,-0.06
3.1337,0.0781,0.0512,0.014,0.02
2.807,0.046,0.0924,0.108,-0.01
2.2553,0.1097,0.0131,-0.075,0.09
2.6854,0.2393,0.073,-0.088,0.08
3.1013,0.1801,0.0232,-0.133,0.11
3.2038,0.1505,0.022,-0.12,-0.03
3.2214,0.0336,0.0474,0.032,0.1
3.2045,0.1034,0.2635,0.045,0.11
3.2101,0.079,0.2351,0.014,-0.03
3.0336,0.1517,0.2496,-0.133,0.09
2.3245,0.1003,0.1182,0.12,-0.19
2.7933,0.1688,0.1614,0.103,-0.04
2.5848,0.1129,0.2578,0.126,-0.01
2.2649,0.2222,0.0911,0.121,-0.09
3.0763,0.0728,0.0764,-0.089,0.04
3.1371,0.2054,0.283,0.17,0
2.4059,0.1151,0.1395,-0.035,0.07
3.1944,0.1045,0.2214,0.018,0.05
3.0935,0.1614,0.0419,-0.107,0.05
3.105,0.1911,0.2669,0.295,-0.02
3.1215,0.147,0.0287,-0.102,0.04
2.8342,0.0425,0.0371,0.067,0.03
3.0667,0.1068,0.1769,0.081,0.08
3.1185,0.2199,0.2905,0.107,0.3
2.1901,0.1481,0.0883,0.183,-0.1
2.7987,0.1487,0.1549,-0.075,-0.02
2.9845,0.0753,0.1714,0.023,0.02
2.6773,0.1732,0.2008,-0.116,-0.02
2.6846,0.161,0.1324,-0.058,0.03
3.1945,0.1384,0.0221,-0.098,0.05
2.9504,0.0663,0.0348,0.116,-0.07
3.1726,0.2539,0.2569,-0.067,-0.06
2.2618,0.1526,0.1076,0.139,-0.09
2.9378,0.0581,0.0368,0.081,0.04
3.1963,0.1656,0.2684,-0.004,0.11
2.5556,0.1623,0.0602,0.174,0.01
2.5268,0.144,0.0837,0.166,0.02
3.1288,0.1754,0.2046,-0.133,0.03
2.7971,0.2356,0.1771,0.005,0.21
3.1336,0.1321,0.2082,-0.008,0.13
2.5472,0.0902,0.2635,0.076,0.01
3.1541,0.0913,0.2747,-0.071,-0.04
2.5458,0.1572,0.1173,0.165,-0.05
2.6462,0.1451,0.069,0.09,-0.03
2.8661,0.0435,0.0372,0.134,0.02
3.1063,0.1461,0.0295,-0.089,0.04
2.8735,0.0458,0.0373,0.054,0.05
2.5645,0.076,0.1673,0.112,-0.05
2.8758,0.0488,0.0371,0.125,0.02
2.4441,0.125,0.1108,0.059,-0.22
2.1896,0.1325,0.0528,0.21,-0.05
2.2585,0.0381,0.0317,-0.053,0.02
3.0014,0.0642,0.1703,0.072,0.05
2.186,0.1364,0.0766,0.197,0
2.6373,0.1832,0.1095,0.014,0.12
2.709,0.1983,0.2416,0.081,0.07
2.5744,0.0253,0.1297,0.13,0
3.1854,0.1487,0.2713,0.255,-0.12
2.4538,0.1216,0.1214,0.161,-0.25
2.7419,0.1169,0.1284,0.143,-0.01
2.7904,0.2415,0.1661,-0.057,0.02
2.5162,0.1492,0.0571,-0.057,0.06
3.1477,0.1924,0.1735,-0.102,0.06
2.4045,0.1074,0.1022,0.134,-0.28
3.2026,0.1578,0.0214,-0.107,0.07
2.2512,0.1682,0.0506,0.116,-0.03
2.5968,0.2325,0.0784,0.107,-0.04
2.5684,0.1348,0.2138,0.121,0.01
2.6007,0.1362,0.237,0.17,0.01
3.1879,0.0493,0.2495,0.027,0.23
3.018,0.14,0.2322,0.085,0.04
2.928,0.1178,0.2589,-0.142,0.1
3.0483,0.152,0.0396,-0.076,-0.05
2.6405,0.0924,0.0724,0.215,-0.02
3.1554,0.0603,0.1926,0.188,0.02
3.1692,0.1494,0.0205,-0.142,0.08
2.7247,0.1493,0.1672,0.121,0.01
2.546,0.1555,0.2274,0.085,-0.12
2.9326,0.0736,0.2198,-0.084,0.05
2.6143,0.0959,0.0529,0.277,-0.03
2.6378,0.1985,0.0959,0.125,-0.07
2.7231,0.0517,0.0455,0.152,0.02
3.1399,0.1094,0.1127,-0.071,0.03
2.8914,0.0347,0.0406,0.121,-0.03
3.0186,0.072,0.1718,0.077,0.06
3.1617,0.0475,0.202,-0.026,0.11
3.064,0.2623,0.1732,0.063,-0.01
2.2715,0.1247,0.0959,0.147,-0.01
2.3139,0.1009,0.1396,-0.039,0.06
3.0443,0.1104,0.1566,-0.071,0.06
3.2043,0.1745,0.1907,-0.142,0.07
2.6108,0.0968,0.2563,0.139,0.03
2.5729,0.1697,0.1356,0.059,-0.02
2.9963,0.0752,0.1849,0.072,0.06
3.0562,0.2128,0.0586,-0.133,0.03
2.9886,0.1294,0.2023,0.032,0.04
3.1695,0.1627,0.0198,-0.107,0.02
3.2187,0.0515,0.2582,-0.031,0.04
3.0099,0.0785,0.1821,0.045,-0.01
2.6594,0.1579,0.2286,0.072,0.04
3.0572,0.0665,0.1662,0.09,0.01
2.4525,0.1244,0.1129,-0.102,0.06
2.5518,0.1475,0.2529,0.148,0
2.6664,0.0511,0.1805,-0.066,0.08
2.3869,0.0591,0.1991,0.183,-0.02
2.9838,0.0839,0.1755,0.045,-0.01
2.9791,0.0509,0.1615,0.134,0.09
2.6644,0.225,0.2179,0.117,0.05
2.5441,0.0873,0.2571,0.054,-0.01
2.605,0.1713,0.2612,-0.129,0.13
3.1626,0.0267,0.2289,-0.272,0.13
3.0029,0.0758,0.188,-0.022,0.02
2.9868,0.0891,0.1906,-0.031,0.06
3.1323,0.1489,0.2609,0.058,-0.17
3.0143,0.0868,0.2901,0.134,0.14
2.7629,0.1104,0.2499,-0.044,0.09
3.1647,0.0938,0.2792,-0.043,0.14
2.5818,0.0263,0.1838,-0.026,0.06
2.6685,0.1567,0.2218,0.059,-0.02
2.6222,0.1231,0.2341,0.121,0.01
3.3831,0.126,0.2596,0.001,0.2
2.5822,0.1187,0.2618,0.005,0.07
2.7694,0.1412,0.1562,0.014,-0.06
3.0415,0.0279,0.2214,0.157,-0.08
2.6161,0.147,0.2485,0.063,-0.02
3.1106,0.1117,0.1936,-0.156,-0.21
2.638,0.1054,0.2625,0.099,0.06
2.5499,0.1258,0.2641,0.09,0
3.2094,0.0624,0.1494,-0.088,0.12
3.0677,0.1125,0.1915,-0.057,0.06
2.6753,0.0744,0.2595,0.104,-0.11
2.5696,0.0702,0.2673,0.134,-0.04
2.9785,0.0912,0.1808,0.032,-0.01
2.5746,0.0419,0.1811,0.148,0.07
3.1462,0.0939,0.2155,0.028,0.16
3.0632,0.0887,0.1942,0.023,0.08
3.1655,0.2363,0.245,-0.218,-0.07
2.5454,0.2241,0.225,-0.182,0.02
2.5793,0.1667,0.2666,-0.138,-0.01
2.351,0.1369,0.0952,0.134,-0.32
2.9954,0.0805,0.1791,0.107,0.05
2.3879,0.2368,0.0824,-0.058,-0.02
2.7341,0.2445,0.1437,-0.039,-0.96
3.2077,0.1266,0.132,-0.008,0.1
3.1224,0.0631,0.16,0.036,0.02
2.5404,0.2463,0.1383,0.081,-0.04
2.6358,0.156,0.2245,0.192,-0.08
3.4903,0.0539,0.1685,-0.084,0.02
2.9938,0.0803,0.1739,0.001,0.03
3.0133,0.0744,0.1698,0.152,0
3.0468,0.0588,0.1825,0.085,0
3.1316,0.1822,0.1078,-0.222,-0.95
2.2846,0.1779,0.116,0.094,0.05
2.7749,0.1401,0.1597,0.121,0.01
3.166,0.0637,0.159,-0.067,0.09
2.778,0.1274,0.1554,0.178,-0.03
2.9903,0.0804,0.1842,0.107,0.02
2.7808,0.1324,0.0887,-0.022,0.05
2.8465,0.0598,0.0352,0.121,0.04
3.1827,0.1479,0.2164,-0.08,0.14
2.3394,0.2281,0.0949,0.059,0.01
2.5807,0.1303,0.2351,0.161,0.03
2.4528,0.0638,0.1288,-0.031,0.01
3.2535,0.0172,0.1777,0.045,0.12
2.9968,0.0742,0.1754,0.009,0.05
2.5429,0.1316,0.2233,0.139,-0.03
3.1511,0.0933,0.0885,-0.169,0.06
3.1262,0.025,0.28,-0.062,0.02
2.6276,0.0524,0.2546,-0.009,0.08
2.5726,0.1562,0.1985,0.13,-0.01
2.6187,0.1095,0.0159,0.081,0.09
3.0372,0.0118,0.1448,0.032,0.09
2.8432,0.1988,0.1657,-0.146,0.17
2.65,0.0595,0.1637,0.067,-0.07
2.5636,0.1817,0.1067,0.107,-0.04
2.5718,0.1402,0.1559,-0.093,0.06
2.7123,0.2506,0.146,-0.066,0.03
3.1342,0.0958,0.2382,-0.098,0.01
3.2084,0.0187,0.2014,-0.071,-0.01
2.6876,0.2436,0.2251,0.156,-0.02
3.2535,0.0172,0.1777,0.081,0.07
3.0441,0.0513,0.1728,0.099,-0.04
3.1505,0.1796,0.1644,-0.049,0.07
3.0429,0.1046,0.1943,0.058,0.03
3.0648,0.063,0.178,-0.004,0.12
2.6227,0.2419,0.2175,0.121,-0.08
3.0717,0.042,0.1898,0.067,-0.03
3.0633,0.1231,0.1931,0.036,-0.02
3.2299,0.0988,0.1771,-0.048,0.04
2.9887,0.1057,0.1762,-0.03,0.03
3.0608,0.0734,0.1662,-0.027,0.08
3.1738,0.2,0.1875,-0.062,0.06
2.7734,0.1126,0.2119,0.147,-0.42
2.778,0.1274,0.1554,0.099,0.01
3.0516,0.0711,0.1708,0,0.04
2.9702,0.0484,0.162,0.17,-0.02
3.0519,0.1834,0.2811,0.059,0.1
3.1685,0.0623,0.1619,-0.004,-0.01
2.1901,0.1481,0.0883,0.094,0.02
2.7987,0.1487,0.1549,-0.08,-0.06
2.9845,0.0753,0.1714,0.081,0.02
2.3836,0.1116,0.1215,0.117,-0.05
3.1945,0.1384,0.0221,-0.098,0.24
2.2674,0.0915,0.0847,0.21,-0.31
2.2422,0.1083,0.0932,0.219,-0.03
2.9378,0.0581,0.0368,0.143,-0.02
3.1963,0.1656,0.2684,-0.004,-0.04
2.5556,0.1623,0.0602,0.13,0
3.2116,0.1339,0.1523,-0.057,-0.11
3.1336,0.1321,0.2082,-0.026,-0.01
2.7904,0.2415,0.1661,-0.013,0.03
2.9585,0.0349,0.0927,0.148,-0.07
2.8758,0.0488,0.0371,0.143,-0.01
2.2585,0.0381,0.0317,-0.008,0
2.8919,0.0491,0.0369,0.143,-0.03
3.0014,0.0642,0.1703,0.103,0
2.186,0.1364,0.0766,0.206,-0.04
2.2696,0.1415,0.0911,0.032,0.01
2.709,0.1983,0.2416,0.054,-0.02
2.7097,0.1941,0.1223,-0.124,0.07
2.5744,0.0253,0.1297,0.143,-0.12
3.1854,0.1487,0.2713,0.232,-0.1
2.4538,0.1216,0.1214,0.13,-0.28
2.7419,0.1169,0.1284,0.205,-0.02
2.5206,0.1617,0.102,0.107,-0.07
2.855,0.0467,0.0363,0.13,0.02
3.2026,0.1578,0.0214,-0.049,0.01
2.6237,0.1371,0.2353,0.183,0.01
3.0211,0.1462,0.1118,0.04,0.06
