ap,ep,sinip,astar,iz
2.2453,0.1929,0.1082,0.13,-0.21
2.3772,0.1762,0.2187,-0.076,0.13
2.3748,0.2569,0.1172,0.081,0.07
2.2267,0.1147,0.1364,0.161,-0.07
2.9827,0.0819,0.1775,0.054,0.05
2.7809,0.0904,0.2056,0.134,0.13
3.0381,0.0328,0.1381,0.161,0
3.0059,0.0757,0.1829,0.076,0
3.1736,0.1133,0.0834,-0.178,0.09
3.4111,0.0311,0.1415,-0.062,0.02
3.1248,0.1052,0.1835,0.005,0.06
3.1028,0.1418,0.0333,-0.142,-0.02
3.1036,0.1487,0.2634,-0.066,0.01
3.1735,0.1352,0.018,-0.036,0.04
2.282,0.1169,0.0389,-0.035,0.09
3.0607,0.0633,0.2036,0.036,-0.02
2.5205,0.1126,0.0367,0.161,-0.02
3.213,0.168,0.0261,-0.035,0
2.7435,0.1312,0.0862,0.116,-0.01
3.0991,0.1472,0.0216,-0.102,0.01
2.7732,0.0763,0.0686,0.108,0.1
2.9288,0.0824,0.0349,0.05,-0.18
2.683,0.1679,0.2009,-0.115,0.02
2.1915,0.1078,0.1043,0.183,-0.32
2.7535,0.1564,0.0966,0.107,-0.05
2.863,0.2146,0.2368,0.13,0.12
2.534,0.1776,0.2396,0.143,0
2.6626,0.1475,0.2203,0.067,-0.07
2.2259,0.1428,0.0554,0.121,-0.07
2.9263,0.0739,0.035,0.125,-0.07
3.191,0.1683,0.0222,-0.098,-0.03
3.0576,0.0744,0.1694,-0.013,0.01
3.1353,0.1672,0.0225,-0.165,0.05
2.2346,0.1571,0.0991,0.157,-0.11
2.8547,0.0581,0.0702,0.05,0.09
3.1697,0.0622,0.1598,-0.084,0.02
2.6127,0.148,0.2302,0.094,-0.01
2.6983,0.1529,0.2211,0.121,-0.13
3.1943,0.1034,0.0904,0.183,0.02
2.7838,0.1322,0.139,0.148,-0.13
2.1719,0.0911,0.0284,-0.067,0.08
3.104,0.1559,0.0424,-0.107,0.01
2.6602,0.1613,0.2053,0.165,0.02
3.1696,0.1751,0.0206,-0.129,-0.03
2.2971,0.1304,0.042,0.152,-0.07
3.372,0.0321,0.2137,0.036,0.12
2.6818,0.0501,0.101,0.179,-0.02
